Name,Website,Category,Description,Delivery to,Made in,On-chain,Lightning,Liquid,Payment Provider,,,,
FARFETCH,https://www.farfetch.com/,"Fashion
Lifestyle",The global destination for modern luxury.,Worldwide,United Kingdom,Yes,Yes,No,Triple A,,,,
Name Cheap,https://www.namecheap.com/,Hosting,Register domains and buy web hosting with Bitcoin. Privacy-focused domain registrar.,Worldwide,United States,Yes,Yes,No,BTCPay Server,,,,
The Human Rights Foundation,https://hrf.org/,Charity,Uniting people under the common cause of defending human rights and promoting liberal democracy.,Worldwide,United States,Yes,Yes,No,BTCPay Server,,,,
SLNT,https://slnt.com/,"Fashion
Digital Privacy
Health","Privacy-first Faraday bags and signal blocking accessories.
",Worldwide,United States,No,Yes,No,Strike,,,,
Travala,https://www.travala.com/,Travel,"Book hotels, flights, tours and activities.",Worldwide,Singapore,Yes,Yes,No,Open Node,,,,
Mullvad VPN,https://mullvad.net/en,"Digital Privacy
VPN","VPN service that helps keep your online activity, identity, and location private.",Worldwide,Sweden,Yes,Yes,No,Self-hosted,,,,
Maple AI,https://trymaple.ai/,"AI
Digital Privacy",Private AI chat with end-to-end encryption.,Worldwide,United States,Yes,Yes,No,Zaprite,,,,
Polymarket,https://polymarket.com/,Gambling,The world's largest prediction market.,Worldwide,United States,Yes,No,No,Self-hosted,,,,
Overstock,https://www.overstock.com/,"Home Goods
Furniture
Jewellery",Find the best online deals on everything for your home and more.,United States,United States,Yes,Yes,No,COINPAYMENTS,,,,
AROTAGS,https://www.arotags.com/,"Vehicle
Lifestyle","Premium wood air fresheners for your car. Long-lasting, artisan-crafted scents.
",Worldwide,United States,No,Yes,No,Strike,,,,
Atoms,https://atoms.com/,Footwear,The most comfortable shoes for everyday wear.,Worldwide,United States,Yes,Yes,No,Open Node,,,,
Hill Helicopters,https://www.hillhelicopters.com/,Vehicle,Experience the future of private helicopter aviation.,Worldwide,United Kingdom,Yes,Yes,No,CoinCorner,,,,
Signal,https://signal.org/,"Charity
Digital Privacy
Social Media","Share text, voice messages, photos, videos, GIFs and files for free securely.",Worldwide,United States,Yes,No,No,The Giving Block,,,,
Cheap Air,https://www.cheapair.com/,Travel,"Experience cheap, fast and secure flight bookings.",Worldwide,United States,Yes,Yes,No,BTCPay Server,,,,
Save the Children,https://www.savethechildren.org/,Charity,A leading humanitarian organization for children that has changed the lives of over 1 billion children around the world.,Worldwide,,Yes,No,No,The Giving Block,,,,
Bees and Trees,https://www.beesandtrees.com/,Food,Unlock nature's goodness with high-quality organic Manuka Honey,Worldwide,New Zealand,No,Yes,No,Strike,,,,
Nord VPN,https://nordvpn.com/,"Digital Privacy
VPN","Fast, secure, and risk-freeVPNfor online privacy.",Worldwide,,Yes,Yes,No,Coingate,,,,
PayPerQ,https://ppq.ai/,AI,Pay per prompt and get instant access to hundreds of powerful AI models. No subscriptions. No registration required.,Worldwide,,Yes,Yes,Yes,BTCPay Server,,,,
Daylight Computer,https://daylightcomputer.com/,Electronics,"Healthy and humane computers that respect our health, attention and freedom.",Worldwide,United States,No,Yes,No,Strike,,,,
Beef initiative,https://beefinitiative.com/,Food,"Order beef that is more localized, redundant, and secure.",United States,United States,No,Yes,No,Strike,,,,
Chroma,https://getchroma.co/,Lifestyle,High performance light therapy solutions,Worldwide,United States,yes,No,No,BTCPay Server,,,,
Sole,https://yoursole.com/,Fashion,Footbeds that deliver unrivaled comfort and support.,Worldwide,Canada,No,Yes,No,Unknown,,,,
Wayland Games,https://www.waylandgames.co.uk/,Games,Europe's largest independent retailer for tabletop games and miniatures.,EEA,United Kingdom,Yes,Yes,No,Coingate,,,,
Tor,https://www.torproject.org/,"Digital Privacy
Charity",We advance human rights and defend your privacy online through free software and open networks.,Worldwide,,Yes,Yes,No,BTCPay Server,,,,
Hostinger,https://www.hostinger.com/,Hosting,"Build, host, and grow online projects with domains.",Worldwide,Lithuania,Yes,Yes,No,Coingate,,,,
Hotel Gift,https://www.hotelgift.com/,"Giftcard
Travel",The #1 best-selling hotel gift cardredeemable on 750000+ hotels and 1200+ hotel chains in more than 170 countries worldwide.,Worldwide,Netherlands,Yes,Yes,No,Coingate,,,,
Jetcraft,https://www.jetcraft.com/,Airplanes,"The global leader in business aircraft sales, acquisitions and trades.",Worldwide,United States,Yes,Yes,No,COINPAYMENTS,,,,
Crave Picks,https://cravepicks.com/,Niccotine,"Toothpicks designed for adults who want a cleaner, more discreet way to enjoy nicotine",Worldwide,United States,Yes,Yes,No,BTCPay Server,,,,
Amnesty International,https://www.amnesty.org/en/,Charity,Support Human Rights and Freedoms.,Worldwide,United States,Yes,No,No,The Giving Block,,,,
Bloom Audio,https://bloomaudio.com/,Electronics,The most friendly and customer service obsessed store for the world's best audiophile brands,Worldwide,United States,Yes,Yes,No,Open Node,,,,
Bitrefill,https://www.bitrefill.com/,"Giftcards
Cellular","Shop for Gift Cards, eSIMs, and Mobile Recharges with BTC",Worldwide,Sweden,Yes,Yes,No,Self-hosted,,,,
Obscura VPN,https://obscura.net/,"Digital Privacy
VPN","""No-log"" VPNs can track you but we are designed to be provably private, as it is technically impossible for us to see your traffic or logs.",Worldwide,United States,No,Yes,No,Self-hosted,,,,
Maxim,https://www.maxim.com/,"Magazine
Lifestyle","Catering to the modern man with content that promises to seduce, entertain and continuously surprise readers.",Worldwide,,Yes,Yes,No,Speed,,,,
Alternative Airlines,https://www.alternativeairlines.com/,Travel,Book flights to anywhere in the world on 600+airlines with 40+ payment methods.,Worldwide,,Yes,Yes,No,Coingate,,,,
Grab,https://www.grab.com/,"Food delivery
Taxi
Insurance
Payments","The all-in-one platform for rides, delivery, payments and insurance.",Singapore,Singapore,Yes,Yes,No,Triple A,,,,
LaHaus,https://www.lahaus.com/,Real Estate,Digital real estate marketplacethat specializes in the sale of new residential properties in Mexico and Columbia.,"Mexico
Columbia",Columbia,Yes,Yes,No,Coingate,,,,
Super Yachts Monaco,https://www.superyachtsmonaco.com/,Yachts,Boutique brokerage headquartered in Monaco and operating globally.,,Monaco,No,Yes,No,Bitcashier,,,,
Trade It,https://tradeit.gg/,Gaming,"Instantly Trade, Buy or Sell CS2, RUST, and TF2 skins for the lowest fees!",Worldwide,United States,Yes,Yes,No,NOWPayments,,,,
OpenSats,https://opensats.org/,Charity,"Funding free and open-source software and projects, particularly those related to Bitcoin, Nostr, and ""freedom tech,"" including protocol development and privacy tools.",Worldwide,United States,Yes,Yes,No,BTCPay Server,,,,
Stake,https://stake.com/,Gambling,"Play the best online casino games, slots & live casino games, or bet on sports",Worldwide,Curacoa,Yes,No,No,Self-hosted,,,,
Aqua Living,https://hottub.com/,"Hot tubs
Lifestyle","Discoverpremium hot tubs, swim spas, and cold tubs.",United States,United States,Yes,Yes,No,Speed,,,,
Mirai Flights,https://mirai.flights/,Travel,Instantly book private jets and empty legs worldwide with real-time fixed pricing.,Worldwide,United Kingdom,Yes,No,No,CoinsPaid,,,,
Rumble,https://rumble.com/,Social Media,"Your rights management video platform. Host, distribute and monetize all your professional, social and viral video.",Worldwide,United States,Yes,Yes,No,Self-hosted,,,,
Primal,https://rumble.com/,Social Media,"Social media app where you control your identity, content and algorithm with the right to exit.",Worldwide,,No,Yes,No,Strike,,,,
